NUMBER_OF_SETS	96
LGOROWLENGTH	12
INFO	"sRGB"
INSTRUMENTATION	"3DLUTCreator"
BEGIN_DATA_FORMAT
SampleID	SAMPLE_NAME	RGB_R	RGB_G	RGB_B	LAB_L	LAB_A	LAB_B
END_DATA_FORMAT
BEGIN_DATA
1	A1	0.41	0.27	0.35	34.237	18.41	-5.74
2	A2	0.46	0.42	0.47	46.826	6.13	-5.95
3	A3	0.38	0.32	0.44	37.147	13.48	-15.86
4	A4	0.38	0.45	0.53	47.798	-1.17	-13.57
5	A5	0.41	0.47	0.50	49.707	-4.63	-5.93
6	A6	0.19	0.24	0.26	24.569	-2.92	-5.20
7	A7	0.40	0.48	0.48	49.678	-7.29	-2.45
8	A8	0.22	0.22	0.21	23.135	0.21	0.77
9	B1	0.27	0.25	0.32	27.828	6.62	-10.66
10	B2	0.37	0.37	0.47	40.765	5.80	-14.06
11	B3	0.22	0.27	0.36	28.886	2.57	-16.24
12	B4	0.42	0.47	0.51	49.371	-2.07	-8.19
13	B5	0.20	0.25	0.30	26.218	-0.66	-9.96
14	B6	0.43	0.46	0.51	48.987	-0.10	-8.15
15	B7	0.36	0.44	0.43	45.217	-7.85	-1.36
16	B8	0.39	0.47	0.39	48.012	-11.20	8.70
17	C1	0.50	0.51	0.52	54.570	-0.70	-1.47
18	C2	0.52	0.50	0.51	53.951	1.70	-0.02
19	C3	0.49	0.53	0.51	55.380	-4.68	1.42
20	C4	0.52	0.50	0.49	53.867	1.12	1.61
21	C5	0.49	0.52	0.46	54.182	-5.51	7.21
22	C6	0.47	0.39	0.34	43.836	5.43	10.20
23	C7	0.47	0.41	0.38	45.325	5.27	5.70
24	C8	0.36	0.45	0.37	45.727	-12.80	8.33
25	D1	0.33	0.25	0.24	28.985	7.55	5.60
26	D2	0.48	0.37	0.27	42.135	7.93	18.13
27	D3	0.27	0.32	0.45	34.702	4.34	-21.09
28	D4	0.54	0.55	0.54	58.200	-2.25	1.61
29	D5	0.15	0.17	0.20	17.453	0.39	-5.76
30	D6	0.50	0.47	0.44	50.633	2.16	5.09
31	D7	0.50	0.45	0.42	49.046	3.96	5.16
32	D8	0.19	0.24	0.23	24.547	-6.07	0.07
33	E1	0.47	0.41	0.38	45.201	4.69	6.12
34	E2	0.33	0.37	0.49	40.567	3.75	-18.08
35	E3	0.36	0.44	0.32	44.881	-13.75	14.86
36	E4	0.49	0.50	0.49	52.917	-1.32	0.15
37	E5	0.27	0.28	0.30	30.452	-0.30	-2.82
38	E6	0.46	0.42	0.37	45.496	2.16	8.31
39	E7	0.46	0.42	0.40	45.957	2.80	4.78
40	E8	0.39	0.47	0.42	48.444	-10.52	4.58
41	F1	0.35	0.39	0.44	41.638	-0.41	-8.49
42	F2	0.46	0.29	0.31	36.705	18.42	5.01
43	F3	0.47	0.25	0.24	33.853	23.59	11.81
44	F4	0.44	0.45	0.45	48.190	-1.14	-0.40
45	F5	0.32	0.33	0.34	35.943	-0.75	-1.58
46	F6	0.39	0.32	0.27	36.343	5.44	9.84
47	F7	0.46	0.43	0.40	46.642	2.21	5.17
48	F8	0.40	0.47	0.36	47.900	-12.31	13.25
49	G1	0.30	0.34	0.26	35.176	-8.12	10.36
50	G2	0.30	0.26	0.36	30.173	9.32	-12.83
51	G3	0.51	0.48	0.34	51.273	-3.82	21.09
52	G4	0.37	0.38	0.38	41.298	-1.17	-0.41
53	G5	0.42	0.43	0.43	46.154	-1.36	0.16
54	G6	0.47	0.43	0.41	47.073	2.38	4.61
55	G7	0.46	0.42	0.39	45.746	3.62	5.08
56	G8	0.35	0.45	0.31	45.344	-15.81	16.05
57	H1	0.40	0.40	0.47	44.028	3.16	-9.06
58	H2	0.44	0.47	0.34	49.321	-9.41	18.24
59	H3	0.47	0.34	0.43	40.967	17.10	-7.39
60	H4	0.30	0.31	0.32	33.399	-0.77	-1.60
61	H5	0.47	0.48	0.48	51.452	-0.75	-0.27
62	H6	0.39	0.30	0.25	34.799	7.77	10.83
63	H7	0.35	0.28	0.24	31.873	6.58	8.48
64	H8	0.39	0.48	0.35	48.699	-14.70	15.50
65	I1	0.42	0.49	0.46	50.555	-7.37	1.82
66	I2	0.48	0.44	0.31	47.165	-0.48	19.55
67	I3	0.35	0.43	0.47	44.928	-4.11	-9.00
68	I4	0.19	0.20	0.23	21.670	0.48	-4.84
69	I5	0.51	0.53	0.52	55.656	-1.31	0.14
70	I6	0.46	0.40	0.37	44.368	4.53	6.71
71	I7	0.47	0.42	0.38	45.835	3.74	7.63
72	I8	0.44	0.40	0.32	43.953	0.15	13.87
73	J1	0.51	0.50	0.47	53.283	-0.01	3.65
74	J2	0.50	0.53	0.51	55.869	-4.33	2.73
75	J3	0.51	0.51	0.51	54.003	0.20	-0.55
76	J4	0.49	0.52	0.52	54.582	-2.58	-0.90
77	J5	0.45	0.47	0.46	49.756	-1.34	0.15
78	J6	0.35	0.36	0.36	38.398	-1.19	-0.42
79	J7	0.21	0.22	0.24	23.863	-0.04	-3.54
80	J8	0.42	0.45	0.33	46.951	-9.09	15.52
81	K1	0.31	0.21	0.25	25.873	13.20	-0.92
82	K2	0.48	0.27	0.25	35.288	22.74	12.58
83	K3	0.47	0.39	0.41	44.041	9.10	-0.40
84	K4	0.47	0.38	0.38	43.776	9.25	3.49
85	K5	0.50	0.35	0.27	41.640	12.53	17.57
86	K6	0.45	0.48	0.33	50.139	-9.44	19.96
87	K7	0.44	0.42	0.31	45.198	-3.77	16.13
88	K8	0.44	0.50	0.35	51.108	-12.51	18.34
